Data,Stipendio annuale,Stipendio mensile
01/01/2001,15367.80,1280.65
01/01/2002,15806.16,1317.18
01/01/2003,16046.16,1337.18
01/01/2004,16355.88,1362.99
01/01/2005,18655.92,1554.66
01/01/2006,18763.32,1563.61
01/02/2007,19887.48,1657.29
01/01/2008,20002.20,1666.85
01/01/2009,20853.48,1737.79
01/01/2016,21085.32,1757.11
01/01/2017,21216.96,1768.08
01/10/2017,21544.32,1795.36
01/01/2019,22367.64,1863.97
01/01/2020,22392.60,1866.05
01/01/2021,22848.00,1904.00
01/04/2022,22916.52,1909.71
01/07/2022,22962.24,1913.52
01/01/2024,24388.68,2032.39
Rivalutazione media annua,,2.03%
