;Stipendio annuale;Stipendio mensile
01/01/2001; 15.367,80 € ;1280,65
01/01/2002; 15.806,16 € ;1317,18
01/01/2003; 16.046,16 € ;1337,18
01/01/2004; 16.355,88 € ;1362,99
01/01/2005; 18.655,92 € ;1554,66
01/01/2006; 18.763,32 € ;1563,61
01/02/2007; 19.887,48 € ;1657,29
01/01/2008; 20.002,20 € ;1666,85
01/01/2009; 20.853,48 € ;1737,79
01/01/2016; 21.085,32 € ;1757,11
01/01/2017; 21.216,96 € ;1768,08
01/10/2017; 21.544,32 € ;1795,36
01/01/2019; 22.367,64 € ;1863,97
01/01/2020; 22.392,60 € ;1866,05
01/01/2021; 22.848,00 € ;1904
01/04/2022; 22.916,52 € ;1909,71
01/07/2022; 22.962,24 € ;1913,52
01/01/2024; 24.388,68 € ;2032,39
Rivalutazione media annua;;2,03%
